Formula,Li_pfu,Li_site_dopant,Li_site_amount,Zr_site_dopant,Zr_site_amount,base_type,charge_check,predicted_log_sigma,predicted_sigma
Li6.500Fe0.10La3Zr1.90W0.10O12,6.5,Fe,0.1,W,0.1,Fe+W,0.0,-3.436587239178026,0.000365942424259153
Li6.400Al0.10La3Zr1.70Ta0.30O12,6.4,Al,0.1,Ta,0.3,Al+Ta,0.0,-3.4366860982484035,0.0003658591337449659
Li6.200Al0.10La3Zr1.50Nb0.50O12,6.2,Al,0.1,Nb,0.5,Al+Nb,0.0,-3.4369389138338806,0.0003656462183657047
Li6.300Al0.10La3Zr1.60Ta0.40O12,6.3,Al,0.1,Ta,0.4,Al+Ta,0.0,-3.4394857025067602,0.00036350827147571454
Li6.450Fe0.15La3Zr1.90Sb0.10O12,6.45,Fe,0.15,Sb,0.1,Fe+Sb,0.0,-3.4408290192244833,0.00036238564075991323
Li6.450Fe0.15La3Zr1.90Nb0.10O12,6.45,Fe,0.15,Nb,0.1,Fe+Nb,0.0,-3.4408290192244833,0.00036238564075991323
Li6.150Al0.20La3Zr1.75Ta0.25O12,6.15,Al,0.2,Ta,0.25,Al+Ta,0.0,-3.4431475114834473,0.0003604561904907929
Li6.450Fe0.15La3Zr1.90Ta0.10O12,6.45,Fe,0.15,Ta,0.1,Fe+Ta,0.0,-3.4438676522745295,0.0003598589825578053
Li6.600Fe0.10La3Zr1.90Sb0.10O12,6.6,Fe,0.1,Sb,0.1,Fe+Sb,0.0,-3.461112851183279,0.00034584949734645174
Li6.600Fe0.10La3Zr1.90Nb0.10O12,6.6,Fe,0.1,Nb,0.1,Fe+Nb,0.0,-3.461112851183279,0.00034584949734645174
Li6.200Al0.20La3Zr1.80Nb0.20O12,6.2,Al,0.2,Nb,0.2,Al+Nb,0.0,-3.463484765116135,0.00034396577735655587
Li6.600Fe0.10La3Zr1.90Ta0.10O12,6.6,Fe,0.1,Ta,0.1,Fe+Ta,0.0,-3.464853059920934,0.0003428837789185367
Li6.300Ga0.10La3Zr1.80W0.20O12,6.3,Ga,0.1,W,0.2,Ga+W,-0.0,-3.465222203688339,0.0003425924566989464
Li6.200Ga0.20La3Zr1.90W0.10O12,6.2,Ga,0.2,W,0.1,Ga+W,0.0,-3.4652590427225887,0.0003425633975224928
Li6.400Al0.10La3Zr1.70Nb0.30O12,6.4,Al,0.1,Nb,0.3,Al+Nb,0.0,-3.4656579738187294,0.0003422488725840713
Li6.300Ga0.20La3Zr1.90Nb0.10O12,6.3,Ga,0.2,Nb,0.1,Ga+Nb,0.0,-3.46877338050248,0.0003398025389294595
Li6.300Ga0.20La3Zr1.90Sb0.10O12,6.3,Ga,0.2,Sb,0.1,Ga+Sb,0.0,-3.46877338050248,0.0003398025389294595
Li6.300Ga0.20La3Zr1.90Ta0.10O12,6.3,Ga,0.2,Ta,0.1,Ga+Ta,0.0,-3.4716410547404912,0.00033756619252847637
Li6.300Al0.10La3Zr1.60Nb0.40O12,6.3,Al,0.1,Nb,0.4,Al+Nb,0.0,-3.472982792024273,0.0003365249031798151
Li6.500Ga0.10La3Zr1.80Sb0.20O12,6.5,Ga,0.1,Sb,0.2,Ga+Sb,0.0,-3.472990552906378,0.00033651888950275493
Li6.150Al0.20La3Zr1.75Sb0.25O12,6.15,Al,0.2,Sb,0.25,Al+Sb,0.0,-3.475237554261724,0.00033478226688128237
Li6.150Al0.15La3Zr1.60Ta0.40O12,6.15,Al,0.15,Ta,0.4,Al+Ta,0.0,-3.476764460016472,0.0003336072959098658
Li6.200Al0.20La3Zr1.80Ta0.20O12,6.2,Al,0.2,Ta,0.2,Al+Ta,0.0,-3.484050591231883,0.00032805707531624687
Li6.450Al0.10La3Zr1.75Ta0.25O12,6.45,Al,0.1,Ta,0.25,Al+Ta,0.0,-3.484739746922784,0.0003275369141666205
Li6.100Al0.10La3Zr1.70W0.30O12,6.1,Al,0.1,W,0.3,Al+W,0.0,-3.486246648443486,0.00032640240612127045
Li6.150Al0.15La3Zr1.60Nb0.40O12,6.15,Al,0.15,Nb,0.4,Al+Nb,0.0,-3.493367350358229,0.00032109433956482115
Li6.250Al0.15La3Zr1.70Ta0.30O12,6.25,Al,0.15,Ta,0.3,Al+Ta,0.0,-3.502296278996303,0.0003145601628603587
Li6.200Al0.10La3Zr1.75W0.25O12,6.2,Al,0.1,W,0.25,Al+W,0.0,-3.5027721819332003,0.00031421565442124654
Li6.200Al0.20La3Zr1.80Sb0.20O12,6.2,Al,0.2,Sb,0.2,Al+Sb,0.0,-3.5033765002410036,0.0003137787291806705
