Formula,Li_pfu,Li_site_dopant,Li_site_amount,Zr_site_dopant,Zr_site_amount,base_type,charge_check
Li6.300Ga0.15La3Zr1.75Sb0.25O12,6.3,Ga,0.15,Sb,0.25,Ga+Sb,0.0
Li6.250Ga0.15La3Zr1.70Sb0.30O12,6.25,Ga,0.15,Sb,0.3,Ga+Sb,0.0
Li6.150Ga0.15La3Zr1.60Sb0.40O12,6.15,Ga,0.15,Sb,0.4,Ga+Sb,0.0
Li6.300Ga0.20La3Zr1.90Sb0.10O12,6.3,Ga,0.2,Sb,0.1,Ga+Sb,0.0
Li6.200Ga0.20La3Zr1.80Sb0.20O12,6.2,Ga,0.2,Sb,0.2,Ga+Sb,0.0
Li6.150Ga0.20La3Zr1.75Sb0.25O12,6.15,Ga,0.2,Sb,0.25,Ga+Sb,0.0
Li6.150Ga0.25La3Zr1.90Sb0.10O12,6.15,Ga,0.25,Sb,0.1,Ga+Sb,0.0
Li6.500Ga0.10La3Zr1.90W0.10O12,6.5,Ga,0.1,W,0.1,Ga+W,0.0
Li6.300Ga0.10La3Zr1.80W0.20O12,6.3,Ga,0.1,W,0.2,Ga+W,-0.0
Li6.200Ga0.10La3Zr1.75W0.25O12,6.2,Ga,0.1,W,0.25,Ga+W,0.0
Li6.100Ga0.10La3Zr1.70W0.30O12,6.1,Ga,0.1,W,0.3,Ga+W,0.0
Li6.350Ga0.15La3Zr1.90W0.10O12,6.35,Ga,0.15,W,0.1,Ga+W,0.0
Li6.150Ga0.15La3Zr1.80W0.20O12,6.15,Ga,0.15,W,0.2,Ga+W,0.0
Li6.200Ga0.20La3Zr1.90W0.10O12,6.2,Ga,0.2,W,0.1,Ga+W,0.0
