formula,sigma,log_sigma
Li2HBrO,8.699999999999999e-07,-6.093909376976187
Li2HClO,7.11e-08,-7.148
Li2HN,0.000254,-3.595
Li2HfCr(PO4)3,4.2e-08,-7.376750709602099
Li2HfIn(PO4)3,2.74e-08,-7.562124718589806
Li2Mg2(MoO4)3,5.2675e-11,-10.635626949999999
Li2MgBr4,7.8e-10,-9.10790539730952
Li2MgCl4,6.24e-07,-6.204815410317576
Li2MgTi3O8,1e-10,-10.0
Li2MnCl4,4.79e-06,-5.319664486585436
Li2PNO2,1e-10,-10.0
Li2PS3,1.1907999999999999e-07,-8.209211521471744
Li2SiS3,2e-06,-5.69848500216801
Li2SnS3,1.43e-05,-4.844954370472159
Li2Ti3CoO8,1e-10,-10.0
Li2TiCr(PO4)3,4.41e-07,-6.355280705266081
Li2TiFe(PO4)3,3.34e-07,-6.476126766594218
Li2TiIn(PO4)3,8.3e-06,-5.080460953811963
Li2VCl4,6.95e-06,-5.158015195409886
Li2Zn0.5P1S4,0.00013,-3.886056647693163
Li2ZnGe3O8,1e-10,-10.0
Li2ZrCr(PO4)3,5.91e-07,-6.228206259559372
Li2ZrFe(PO4)3,1.44e-07,-6.841318753952375
Li2ZrIn(PO4)3,8.22e-08,-7.085064091229975
Li2ZrO3,6.1e-10,-9.214670164989233
Li2ZrS3,7.3e-06,-5.136
Li3.09B1N0.52O2.53,8.65e-07,-6.063
Li3.25Ge0.25P0.75S4,0.0022,-2.657577319177794
Li3.25Sn0.25P0.75S4,0.0036,-2.4436974992327127
Li3.26Sn0.26P0.74S4,0.00453,-2.343901797987168
Li3.27Sn0.27P0.73S4,0.00496,-2.3045183235098023
Li3.285Sn0.28P0.72S4,0.00436,-2.360513510731414
Li3.2Ge0.2P0.8O4,1.14e-06,-5.9430475743317634
Li3.2Ge0.2P0.8S4,0.0005475,-3.2613535084386616
Li3.2P1N0.7O3.1,5e-07,-6.301
Li3.2Si0.2P0.8S4,3.2e-06,-5.494850021680094
Li3.2V0.8Ge0.2O4,1.9e-05,-4.721123199523586
Li3.333Mg0.333P2S6,8.2e-08,-7.086186147616283
Li3.335Sn0.33P0.67S4,0.00373,-2.4282911681913126
Li3.35Ge0.35P0.65S4,0.0016853275,-2.7747396395817683
Li3.3Ge0.3P0.7S4,0.00174,-2.7594507517174
Li3.3Sn0.3P0.7S4,0.00365,-2.4377071355435254
Li3.425Si0.425P0.575S4,0.00565,-2.2479515521805613
Li3.45Si0.45P0.55S4,0.00673,-2.171984935776023
Li3.475Si0.475P0.525S4,0.00527,-2.2781893847874533
Li3.4Ge0.4P0.6O4,4.5e-06,-5.346393743112328
Li3.4Ge0.4P0.6S4,0.000654,-3.184422251675733
Li3.4Si0.4P0.6S4,0.000662,-3.1791420105603
Li3.4V0.6Ge0.4O4,8.89e-07,-6.051049119514893
Li3.5V0.5Ge0.5O4,7e-05,-4.154
Li3.5Zn0.5Ga0.5P2O8,1e-10,-10.0
Li3.6Ge0.4P0.6S4,0.000221356,-3.654
Li3.6Ge0.6P0.4O4,1.1e-05,-4.958303657420887
Li3.6Ge0.6P0.4S4,0.000175,-3.7569619513137056
Li3.6Si0.6P0.4S4,7.475e-05,-4.1266355548085585
Li3.6V0.4Ge0.6O4,3.19e-05,-4.49610465847141
Li3.75Si0.75P0.25O4,5.54e-07,-6.256245117635785
Li3.75V0.25Ge0.75O4,5.66e-06,-5.247183568811729
Li3.7Ge0.85W0.15O4,3.8e-05,-4.42021640338319
Li3.7Zn0.7Ga0.3P2O8,5.65e-12,-11.247951552180561
Li3.8Ge0.8P0.2O4,1.03e-06,-5.9870813876474145
Li3.8Ge0.8P0.2S4,1.78e-06,-5.749579997691106
Li3.8Si0.8P0.2S4,8.11e-07,-6.090979145788844
Li3.8V0.2Ge0.8O4,2.71e-06,-5.567015354562797
Li3.9Zn0.05Ge1S4,2.84e-07,-6.546
Li3AlF6,5e-07,-6.301029995663981
Li3AlH6,1.4e-07,-6.853871964321762
Li3AlN2,5e-08,-7.301029995663981
Li3AlS3,1.31e-08,-7.882364352172118
Li3B(PO4)2,9.6e-12,-11.017728766960431
Li3BN2,4.358e-08,-8.42818038236273
Li3BiO3,2.4e-10,-9.619788758288394
Li3BiO4,4.1e-10,-9.387216143280265
Li3Br0.5Cl0.5O1,0.000938,-3.027
Li3BrO,1.08e-06,-5.966303657420887
Li3ClO,0.0125705,-2.726029995663981
Li3Cr(MoO4)3,3.19e-09,-8.49610465847141
Li3ErI6,0.00065,-3.1870866433571443
Li3Fe(MoO4)3,5.89e-10,-9.229442352606448
Li3Fe2(PO4)3,1.11e-08,-7.953
Li3H4IN2,1e-05,-5.0
Li3InCl6,0.00204,-2.6903698325741012
Li3N,0.000575,-3.24
Li3Nd3(TeO6)2,1e-10,-10.0
Li3P,0.0008515,-3.076522337490088
Li3PO4,1.75e-13,-12.756961951313706
Li3PS4,8.93e-07,-6.049148541111453
Li3SbS3,1e-09,-9.0
Li3SbS4,4.8e-09,-8.318758762624412
Li3Sc1.6Al0.4P3O12,1.28e-05,-4.892
Li3Sc2(PO4)3,1e-10,-10.0
Li3V0.2P0.8O4,2.05e-13,-12.688246139472124
Li3V0.4P0.6O4,3.2e-13,-12.494850020840047
Li3V0.6P0.4O4,3.55e-13,-12.449771648472453
Li3V0.8P0.2O4,1.31e-13,-12.883559097172117
Li3VO4,9.2e-14,-13.03621217
Li3YBr6,0.00192,-2.7166987712964503
Li3YCl6,0.000539,-3.2684112348132612
Li4.25Al0.25Si0.75O4,2.02e-08,-7.694824315276689
Li4.275Ga0.25Ge0.61S4,6.34e-05,-4.197
Li4.2Al0.2Si0.8S4,2.4e-08,-7.619788758288394
Li4.2Ga0.2Ge0.8S4,6.5e-05,-4.187
Li4.4Al0.4Ge0.6S4,4.3150000000000005e-05,-4.364765772210207
Li4.4Al0.4Si0.6S4,3.05e-08,-7.515700160653214
Li4.4Al0.4Sn0.6S4,4.345e-06,-5.361765772210207
Li4.4Ga0.4Ge0.6S4,1.63e-05,-4.787
Li4.4Ga0.4Sn0.6S4,3.2e-06,-5.494
Li4.6Al0.6Si0.4S4,1.46e-08,-7.835647144215563
Li4.8Al0.8Si0.2S4,6.495e-07,-6.305582258830055
Li49.6La24Zr14.4Ta1.6Al1.6O96,0.000614,-3.211831628858832
Li4Al0.33Si0.17Ge0.17P0.33O4,1.61e-06,-5.792
Li4Al0.33Si0.33P0.33O4,3.25e-06,-5.487558319510563
Li4B7ClO12,1.05e-06,-6.349485002168009
Li4BH10N3,0.0002,-3.698
Li4Ge(SeS)2,2.8e-05,-4.552841968657781
Li4GeO4,1.3e-12,-11.886056647693163
Li4GeS4,2.255e-07,-6.649485002168009
Li4GeSe3S,1.5e-05,-4.823908740944319
Li4GeSe4,5e-06,-5.301029995663981
Li4GeSeS3,8.5e-06,-5.070581074285707
Li4Nd3SbTeO12,8.7e-09,-8.060240373690691
Li4P2O7,1e-10,-10.0
Li4PS4I,9.13e-05,-4.061909376976188
Li4SiO4,2e-10,-9.698
Li4SiS4,4.93e-08,-7.30715308072277
Li4Sn(SeS)2,3.6e-05,-4.443697499232712
Li4Sn0.25Ge0.75Se4,6e-06,-5.221848749616356
Li4Sn0.5Ge0.5Se4,1.8e-06,-5.7447274948966935
Li4Sn0.75Ge0.25Se4,8.3e-07,-6.080921907623926
Li4SnS4,7e-05,-4.1544509799928715
Li4SnSe3S,9.5e-07,-6.022276394711152
