Li_frac,avg_electronegativity,avg_atomic_mass,avg_atomic_radius,avg_row,avg_col,num_elements,formula,sigma,log_sigma
0.037578288100208766,2.652901878914405,37.9638656993737,0.9708768267223382,2.926931106471816,11.275574112734864,4,Li0.18La0.61Ti1O3,0.000412,-3.385102783966865
0.03909465020576131,2.6372839506172836,39.37392477366255,0.9829218106995885,2.962962962962963,11.25514403292181,5,Li0.19La0.67Ti0.9Co0.1O3,0.000108,-3.96657624451305
0.021141649048625793,2.6746300211416494,38.91537972515856,0.9669133192389007,2.955602536997886,11.414376321353064,4,Li0.1La0.63Ti1O3,7.9e-05,-4.102
0.02100840336134454,2.666176470588235,39.106799172268914,0.9699579831932773,2.953781512605042,11.550420168067227,5,Li0.1La0.66Ti0.9Al0.1O3,7.34e-06,-5.134
0.044698544698544694,2.6455717255717257,37.423340883575875,0.9713097713097713,2.9106029106029103,11.226611226611226,4,Li0.215La0.595Ti1O3,0.000853,-3.0690509688324767
0.050651230101302465,2.636241471986769,37.20057972710358,0.9736716973330577,2.9030390738060783,11.180690510647096,5,Li0.245La0.592Ti0.98Mn0.02O3,0.001,-3.0
0.049689440993788817,2.6385507246376814,37.16051082815735,0.9727743271221533,2.9026915113871636,11.182194616977224,4,Li0.24La0.59Ti1O3,0.000121,-3.949
0.05555555555555555,2.742222222222222,58.97948833333333,0.911111111111111,3.1111111111111107,12.0,4,Li0.25La0.25Ta1O3,0.00019605,-4.00967974633086
0.05091649694501018,2.6168024439918534,37.486088564154784,0.9800407331975559,2.8940936863543785,11.5030549898167,5,Li0.25La0.66Ti0.75Al0.25O3,7.66e-05,-4.115
0.05555555555555555,2.744444444444444,59.27596222222222,0.9055555555555554,3.1111111111111107,12.0,4,Li0.25Nd0.25Ta1O3,9.6155e-07,-6.800364352172117
0.05555555555555555,2.7461111111111105,59.615851111111105,0.9055555555555554,3.1111111111111107,12.0,4,Li0.25Sm0.25Ta1O3,4.32e-10,-9.364516253185087
0.05578512396694216,2.634628099173554,36.55276609504132,0.971694214876033,2.884297520661157,11.152892561983471,4,Li0.27La0.57Ti1O3,0.00034,-3.4685210829577446
0.055670103092783516,2.6314639175257732,36.76380259793815,0.9737113402061857,2.8907216494845365,11.136082474226804,4,Li0.27La0.58Ti1O3,0.0007155,-3.1512249256599825
